,name,region,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
82,Malta,Europe,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
83,Mauritania,Africa,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
84,Mauritius,Africa,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
85,Mexico,Americas,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
86,Moldova,Europe,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
87,Mongolia,Asia,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
88,Montenegro,Europe,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
89,Morocco,Africa,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
90,Mozambique,Africa,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
91,Myanmar,Asia,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
92,Namibia,Africa,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
93,Nepal,Asia,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
94,Netherlands,Europe,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
95,New Zealand,Oceania,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
96,Nicaragua,Americas,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
97,Niger,Africa,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
98,Nigeria,Africa,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
99,Norway,Europe,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
100,Pakistan,Asia,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
101,Panama,Americas,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
102,Paraguay,Americas,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
103,Peru,Americas,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
104,Philippines,Asia,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
105,Poland,Europe,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
106,Portugal,Europe,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
107,Qatar,Asia,29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
108,Romania,Europe,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
109,Russia,Europe,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
110,Rwanda,Africa,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
111,Saudi Arabia,Asia,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
112,Senegal,Africa,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
113,Serbia,Europe,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
114,Sierra Leone,Africa,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
115,Singapore,Asia,34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
116,Slovakia,Europe,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
117,Slovenia,Europe,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
118,Somalia,Africa,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
119,South Africa,Africa,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
120,South Sudan,Africa,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
121,Spain,Europe,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
122,Sri Lanka,Asia,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
123,Sweden,Europe,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
124,Switzerland,Europe,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
125,Syria,Asia,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
126,Taiwan,Asia,25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
127,Tajikistan,Asia,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
128,Tanzania,Africa,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
129,Thailand,Asia,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
130,Togo,Africa,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
131,Tunisia,Africa,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
132,Turkey,Asia,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
133,Turkmenistan,Asia,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
134,Uganda,Africa,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
